"","desc_short","bl","fl","y","tax"
"1001","Prod. agricolas",0.662473449394445,0.778759164511849,12897,"Independiente"
"1002","Ani. Vivos y Prod. Pecua.",0.841459374693941,0.691415552216732,5567,"Independiente"
"1003","Prod. Caza-silvi-madera",0.623146828035536,0.953710613028792,875,"Independiente"
"1004","Serv. Agri-Ganadero",1.05980663235847,1.56511628192992,90,"Clave"
"2001","Prod. Pesca-Acuicultura",0.922876543345931,0.635723158420534,2468,"Independiente"
"3001","Petro-GasNatural",0.815003444924927,1.75870836922263,5728,"Impulsado"
"3002","Serv. Apoy extracc.",0.888379089061271,1.24871280272653,1393,"Impulsado"
"4001","Prod. Mineral-Metal.",0.749218932668036,0.406572450476809,34916,"Independiente"
"4002","Prod. Mineral-NoMetal-Carbon",0.703619811595769,1.16593398419397,1268,"Impulsado"
"4003","Serv. Apoyo Extr.Minera",0.669234792640976,0.548435821880642,3151,"Independiente"
"5001","Carn-Menudencias-Cueros-Subp.Matanza",1.22926708778017,0.46548866997222,1202,"Impulsor"
"6001","Preserv. Pescado",1.09752542515395,0.353224170272972,944,"Impulsor"
"7001","HarinaAceite Pescado",1.13822044235582,0.354384892871707,1506,"Impulsor"
"8001","Conservas de frutas",1.08832642748587,0.398830962291752,738,"Impulsor"
"9001","Aceites y grasas",1.284649790247,1.24158057657662,594,"Clave"
"10001","Lacteos",1.19890757693134,0.439993691804683,842,"Impulsor"
"11001","molineria-fideos-otrasPastas",0.997934500504948,0.486135754804118,1630,"Independiente"
"11002","Prod.Panaderia-Pasteleria",1.22447083600074,0.366577777303755,1205,"Impulsor"
"11003","Almidones-Prod.Almidon",0.971328709651262,0.686655464436388,21,"Independiente"
"12001","Azucar",1.08553972965195,0.94608108360842,404,"Impulsor"
"13001","Cacao-Choc.-Confiteria",1.25805703703828,0.411847190580574,235,"Impulsor"
"13002","Otrs Prod. Alimenticios",1.14020422272354,0.450631996386985,759,"Impulsor"
"14001","Alimentos prep. Animales",1.22686467089526,0.764774245575231,394,"Impulsor"
"15001","Malta-Cerveza",1.04899156423723,0.535380534351478,950,"Impulsor"
"15002","Vino-BebAlcohol-Tabaco",1.01466332289957,0.531871183311828,239,"Impulsor"
"15003","Beb.NoAlcoholicas",1.31490135769073,0.422283024353751,531,"Impulsor"
"16001","MateriaTextiles Hilos e Hilados",1.15499247107932,0.915068239204716,803,"Impulsor"
"16002","TejidosServicios de Textil",1.15241871775507,0.836683612269462,1044,"Impulsor"
"16003","OtrosProduct. Textil",1.12308931657255,0.743024631140545,521,"Impulsor"
"17001","Prendas de vestir",1.13213875863386,0.415861100213017,3975,"Impulsor"
"18001","Cuero y productos de cuero",1.14098805212481,0.558207525337219,262,"Impulsor"
"18002","Calzado",1.10124973147212,0.423864019938578,614,"Impulsor"
"19001","Madera",0.891797150732823,0.747182933820061,1243,"Independiente"
"19002","Prod. Madera",1.14749448094011,0.705640029633477,451,"Impulsor"
"20001","Pulpa- papel y carton",1.24034003071358,5.99546792091176,92,"Clave"
"20002","Product. de papel y carton",1.22146154534332,0.830160848857861,1196,"Impulsor"
"21001","Product. de imprenta",1.14089476727881,1.0984548155976,1544,"Clave"
"21002","Reproducc. de grabaciones",1.0944941496368,0.431061305248562,115,"Impulsor"
"22001","Petroleo refinado",1.24525765014207,0.810583904340291,1701,"Impulsor"
"23001","Sustancias quimicas-plasticos-caucho",1.23413329534179,2.69842744934858,737,"Clave"
"23002","Abonos y compuestos de nitrogeno",1.13009617616076,12.0902693107586,35,"Clave"
"24001","Productos de limpieza y de tocador",1.11776956514116,0.496807770235173,1364,"Impulsor"
"24002","Pesticidas y otros productos quimicos",1.24598088003209,1.50895604138594,1095,"Clave"
"25001","Product. farmaceuticos y medicamentos",1.10424804468018,0.588664689331537,1117,"Impulsor"
"26001","Produc. de caucho",1.13562350766441,1.46393003219333,282,"Clave"
"26002","Produc. de plastico",1.33132240457193,0.956633834238054,1422,"Impulsor"
"27001","Vidrio y prod. de vidrio",1.0140366344072,1.13483596741988,290,"Clave"
"27002","Otros product. mineralesNoMetalicos",0.993184402240181,0.753236651486789,2448,"Independiente"
"28001","Product. de siderurgia",1.1587501120518,1.91839225896655,957,"Clave"
"29001","MetalesPreciosos-metalesNoFerrosos",0.987233268451521,0.461908201869941,7316,"Independiente"
"30001","Productos metalicos para uso estructural",1.11185695736344,0.810886257806098,846,"Impulsor"
"30002","Otros productos metalicos diversos",1.20324694041993,0.971042937380987,1021,"Impulsor"
"31001","Productos informaticos-Electronicos-opticos",1.34037050591944,3.88877604462299,100,"Clave"
"32001","Maquinaria y equipo electrico",1.25277923910343,0.759923201063151,427,"Impulsor"
"32002","Otra maquinaria y equipo",1.12739173306616,1.21489199946989,981,"Clave"
"33001","Material de transporte",1.11289218578652,1.0505197010077,616,"Clave"
"34001","Muebles",1.13992974348579,0.455363209438172,1361,"Impulsor"
"35001","Otros productos manufacturados diversos",0.975040056086304,0.515691010259145,4501,"Independiente"
"36001","Servicio de electricidad y gas",0.905972470335322,0.86997354129776,4407,"Independiente"
"36002","Serv.AguaAlcantarillado-GestionDesechosSaneamiento",0.849569539481603,0.947219000151258,1392,"Independiente"
"37001","Construccion",1.0197783467628,0.356837689439345,17714,"Impulsor"
"38001","Servicio de comercializacion",0.805618157164821,0.583781946654112,32179,"Independiente"
"38002","Manten. y rep. de vehiculosAutomotores y Motocicletas",0.945362240612785,0.859247955470902,2305,"Independiente"
"39001","Transporte terrestre",1.02881485340019,0.637073483026861,11860,"Impulsor"
"39002","Transporte acuatico",1.09966903504805,1.14132666455741,305,"Clave"
"39003","Transporte aereo",1.22355737606658,0.649750471770472,944,"Impulsor"
"39004","Almacenamiento",1.07838671042192,0.991694981315417,838,"Impulsor"
"39005","Servicios complementarios de transporte",0.987383434428156,0.932346037927951,2892,"Independiente"
"39006","Correo y mensajeria",0.993142991104452,1.01074822602475,398,"Impulsado"
"40001","Alojamiento",0.95176902040664,0.485568120345765,1344,"Independiente"
"40002","Restaurantes",1.01069539463908,0.381750988503375,8815,"Impulsor"
"41001","Telecomunicaciones",0.930024780710398,0.612190102384683,6282,"Independiente"
"42001","Edicion impresa y en linea",1.0386885442824,0.958566695301294,930,"Impulsor"
"42002","ProduccionProyeccionDistribucion de peliculas y grab.Sonido",1.12938634308149,1.44231457397097,124,"Clave"
"42003","Radio y television",0.959776896511046,1.32471522496132,557,"Impulsado"
"42004","Tec.InformaticaProcesamientoDatos",0.815082948511191,0.972653264253294,899,"Independiente"
"42005","Otros servicios de informacion",0.6678955646767,1.35606774185648,25,"Impulsado"
"43001","Servicios financieros",0.719739550526884,0.809698715725596,9130,"Independiente"
"44001","Servicio de seguros",1.17407697237157,1.15032198284924,853,"Clave"
"44002","Servicios de pensiones",0.738943328712289,0.331945125783444,450,"Independiente"
"45001","Servicio inmobiliario",0.760985216954494,1.00525641037001,2736,"Impulsado"
"45002","Alquiler de vivienda",0.542537362980386,0.331945125783444,13412,"Independiente"
"46001","ServiciosProfesionalesCientificos y tecnicos",0.835930098105542,1.06946647574288,6029,"Impulsado"
"46002","Servicios de publicidad-Investigacion de mercados",1.22387388229928,1.03674285043705,869,"Clave"
"47001","Alquiler de vehiculos",0.877487111051832,0.923003688196094,206,"Independiente"
"47002","Alquiler de maqui. y equipo y de mercaderias tangibles",0.831898622352233,1.26243195022804,1150,"Impulsado"
"47003","Otro alquiler y arrendamiento",0.797146218722869,1.59361390280121,227,"Impulsado"
"48001","Agencias de viaje y operadores turisticos",0.786039470956163,0.449678943042979,437,"Independiente"
"49001","Agencias de empleo",0.775054288678048,1.06042216323092,963,"Impulsado"
"49002","Servicios de proteccion y seguridad",0.788363138765742,1.06390630035764,1887,"Impulsado"
"49003","LimpiezaServiciosApoyoEdificios y mantenimiento de jardines",0.81815018967644,0.881858094170725,758,"Independiente"
"49004","Otros servicios administrativos y de apoyo",0.856854971619218,1.1292435364777,2612,"Impulsado"
"50001","Servicios de administracion publicaDefensa y otros",0.827946528248406,0.331945125783444,13234,"Independiente"
"51001","Educacion privada",0.743269074626906,0.367679862701796,8093,"Independiente"
"51002","Educacion publica",0.536144934965133,0.331945125783444,7180,"Independiente"
"52001","Salud privada",0.891014325967112,0.39955921456971,2823,"Independiente"
"52002","Salud publica",0.704506860363223,0.331945125783444,4115,"Independiente"
"53001","Serv. Social. y de asociaciones u organizaciones no mercantes",1.14236238285212,0.331945125783444,506,"Impulsor"
"54001","Servicios de arteEntretenimientoEsparcimiento",0.867724193601994,0.379422666202653,2110,"Independiente"
"54002","ReparacionComputadoras y enseres de uso personal",0.872812693569218,0.712264208290843,1034,"Independiente"
"54003","Otros servicios personales",0.688989860021061,0.340684698784284,5188,"Independiente"
