;P234_NOM;sumSE;sumAB;sumFE;sumPL;n
1;ALGODON;210;385;1100;1300;2
2;ARROZ CASCARA;36499;9225;188401;119660;63
3;ARVEJA GRANO VERDE;360;0;90;725;2
4;CAMOTE;1;0;0;0;1
5;CAÑA DE AZUCAR PARA AZUCAR;2118;0;7500;2450;1
6;CAÑA DE AZUCAR PARA FRUTA;0;0;0;0;1
7;CIRUELA AGRIA;0;0;0;0;9
8;COCOTERO;0;0;0;0;2
9;FRIJOL BAYO GRANO SECO;150;0;600;500;1
10;FRIJOL BAYO GRANO VERDE;50;0;180;100;1
11;FRIJOL DE PALO GRANO SECO;0;0;0;0;1
12;FRIJOL DE PALO GRANO VERDE;1;0;0;0;1
13;GARBANZO GRANO SECO;480;0;900;850;2
14;GARBANZO GRANO VERDE;48;36;160;120;1
15;GUANABANO;0;0;0;0;4
16;HIGUERA;0;0;0;0;1
17;LIMON ACIDO;0;0;0;0;1
18;MAIZ AMARILLO DURO;135;0;650;500;2
19;MAIZ AMILACEO;250;0;652;390;5
20;MAIZ CHALA;464;250;1867;1150;5
21;MAIZ CHOCLO;268;0;420;550;3
22;MANGO;0;0;0;5;16
23;MARACUYA;0;0;0;0;1
24;PACAE;0;0;0;5;16
25;PALLAR GRANO VERDE;850;0;1000;1060;2
26;PALTO;0;0;0;0;1
27;PASTO GRAMALOTE;0;0;0;0;1
28;PLATANO;0;0;0;0;19
29;TAMARINDO;0;0;0;0;3
30;ZARANDAJA GRANO SECO;160;0;600;500;1
31;ZARANDAJA GRANO VERDE;408;0;754;520;5
